id,name,now_cost,team,element_type,status
633,Branden Carlson,45,24,2,a
751,Buddy Boeheim,45,24,2,u
801,Malevy Leons,45,24,2,u
803,Cormac Ryan,45,24,2,u
818,Miller Kopp,45,24,2,u
80,Brandon Ingram,135,25,2,i
133,A.J. Lawson,50,25,1,a
276,Colin Castleton,44,25,2,u
425,Cole Swider,44,25,2,a
446,James Wiseman,65,25,2,u
528,Orlando Robinson,44,25,2,a
607,Bruno Fernando,53,25,2,u
609,RJ Barrett,127,25,2,a
610,Immanuel Quickley,118,25,1,i
612,Jordan Nwora,55,25,2,u
613,Garrett Temple,44,25,1,a
615,Jakob Poeltl,117,25,2,i
616,Scottie Barnes,150,25,2,a
617,Chris Boucher,55,25,2,a
619,Gradey Dick,56,25,1,i
622,Kevin Obanor,45,25,2,u
623,Ochai Agbaji,47,25,1,a
625,Jontay Porter,60,25,2,u
626,Makur Maker,45,25,2,u
627,Justise Winslow,50,25,2,u
628,D.J. Carton,44,25,1,u
629,Jahmi'us Ramsey,50,25,1,u
630,Kobi Simmons,45,25,1,u
631,Malik Williams,45,25,2,u
632,Jamison Battle,43,25,2,a
634,Ulrich Chomche,44,25,2,u
635,Jonathan Mogbo,43,25,2,a
636,Jamal Shead,46,25,1,a
637,Ja'Kobe Walter,54,25,1,a
638,Jared Rhoden,49,25,1,a
715,Eugene Omoruyi,50,25,2,u
44,Jaden Springer,49,26,1,a
111,Justin Lewis,45,26,2,u
263,Elijah Harkless,45,26,1,i
293,Josh Richardson,74,26,1,u
454,Kenyon Martin Jr.,50,26,2,a
472,David Jones,45,26,2,u
640,Svi Mykhailiuk,47,26,1,a
641,Oscar Tshiebwe,44,26,2,a
644,Jason Preston,45,26,1,u
645,Darius Bazley,55,26,2,u
646,Otto Porter Jr.,45,26,2,u
647,Romeo Langford,50,26,1,u
648,John Collins,115,26,2,i
649,Jordan Clarkson,109,26,1,u
650,Walker Kessler,100,26,2,i
651,Johnny Juzang,52,26,1,a
652,Collin Sexton,118,26,1,a
653,Lauri Markkanen,144,26,2,i
654,Micah Potter,44,26,2,a
655,Omer Yurtseven,50,26,2,u
656,Luka Samanic,45,26,2,u
657,Keyonte George,89,26,1,a
658,Joey Hauser,45,26,2,u
659,Taylor Hendricks,70,26,2,u
660,Brice Sensabaugh,50,26,2,a
661,Taevion Kinsey,45,26,1,u
662,Nick Ongenda,45,26,2,u
664,Michael Devoe,45,26,1,u
665,Keshawn Justice,45,26,2,u
666,Isaiah Collier,53,26,1,a
667,Kyle Filipowski,47,26,2,a
668,Babacar Sane,45,26,2,u
669,Cody Williams,59,26,2,a
